"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"aker-universitetssykehus.no","aker-universitetssykehus.no","http://aker-universitetssykehus.no","","Oslo Universitetssykehus Hf","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"akerrikse.no","akerrikse.no","http://www.akerrikse.no","","Fylkesmannen I Rogaland","","Yes","dotgov","No","No","No","","","","","","No"
"akershus-universitetssykehus.no","akershus-universitetssykehus.no","http://akershus-universitetssykehus.no","","Akershus Universitetssykehus Hf","","Yes","dotgov","No","No","No","","","","","","No"
"akershusfestning.no","akershusfestning.no","http://akershusfestning.no","","Forsvarsbygg","","Yes","dotgov","No","No","No","","","","","","No"
"akershuskommandantskap.no","akershuskommandantskap.no","http://akershuskommandantskap.no","","Forsvaret","","No","dotgov","No","No","No","No","Yes","Yes","No","No","No"
"akershusslott.no","akershusslott.no","http://akershusslott.no","","Forsvaret","","No","dotgov","No","No","No","No","Yes","Yes","No","No","No"
"akersykehus.no","akersykehus.no","http://akersykehus.no","","Oslo Universitetssykehus Hf","","Yes","dotgov","No","No","No","","","","","","No"
"akkreditert.no","akkreditert.no","http://akkreditert.no","","Justervesenet","","No","dotgov","No","No","No","","","","","","No"
"aktan.no","aktan.no","http://aktan.no","","Sàmi Allaskuvla Samisk Høgskole","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"aktesne.no","aktesne.no","http://aktesne.no","","Sàmi Allaskuvla Samisk Høgskole","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"aktivitetsstien.no","aktivitetsstien.no","http://aktivitetsstien.no","","Høgskolen I Hedmark","","No","dotgov","No","No","No","","","","","","No"
"aktorportalen.no","aktorportalen.no","https://www.aktorportalen.no","","Domstolene I Norge","","Yes","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"akuttnettverket.no","akuttnettverket.no","http://www.akuttnettverket.no","","Akershus Universitetssykehus Hf","","No","dotgov","No","No","No","","","","","","No"
"akvamedisin.no","akvamedisin.no","http://akvamedisin.no","","Universitetet I Bergen","","No","dotgov","No","No","No","","","","","","No"
"alesundkonferansen.no","alesundkonferansen.no","http://alesundkonferansen.no","","Kystverket","","Yes","dotgov","No","No","No","","","","","","No"
"alger.no","alger.no","http://alger.no","","Havforskningsinstituttet","","Yes","dotgov","No","No","No","","","","","","No"
"allaskuvla.no","allaskuvla.no","http://allaskuvla.no","","Sàmi Allaskuvla Samisk Høgskole","","No","dotgov","No","No","No","","","","","","No"
"allesansvar.no","allesansvar.no","http://www.allesansvar.no","","Direktoratet For Samfunnssikkerhet og Beredskap (Dsb)","","Yes","dotgov","No","No","No","","","","","","No"
"allvei.no","allvei.no","http://www.allvei.no","","Statens Vegvesen","","Yes","dotgov","No","No","No","","","","","","No"
"allvis.no","allvis.no","http://allvis.no","","Nasjonal Sikkerhetsmyndighet (Nsm)","","Yes","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"almamatersdotre.no","almamatersdotre.no","http://almamatersdotre.no","","Norges Forskningsråd","","No","dotgov","No","No","No","","","","","","No"
"altinn.no","altinn.no","https://altinn.no","","Registerenheten I Brønnøysund","","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"altvikanmotbrann.no","altvikanmotbrann.no","http://www.altvikanmotbrann.no","","Direktoratet For Samfunnssikkerhet og Beredskap (Dsb)","","Yes","dotgov","No","No","No","","","","","","No"
