"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"ungiverran.no","ungiverran.no","http://ungiverran.no","","Verran Kommune","Nord-Trøndelag","No","dotgov","No","No","No","","","","","","No"
"ungivestby.no","ungivestby.no","https://www.ungivestby.no","","Vestby Kommune","Akershus","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"ungjobb.no","ungjobb.no","http://ungjobb.no","","Eidskog Kommune","Hedmark","Yes","dotgov","No","No","No","","","","","","No"
"ungkirke.no","ungkirke.no","http://www.ungkirke.no","","Randaberg Sokn","Rogaland","No","dotgov","No","No","No","","","","","","No"
"ungkultur.no","ungkultur.no","http://www.ungkultur.no","","Nordland Fylkeskommune","Nordland","No","dotgov","No","No","No","","","","","","No"
"ungmedia.no","ungmedia.no","http://ungmedia.no","","Oslo Kommune Bydel 3 Sagene","Oslo","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"ungmetro.no","ungmetro.no","http://ungmetro.no","","Oslo Kommune Bydel 3 Sagene","Oslo","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"ungogkul.no","ungogkul.no","http://ungogkul.no","","Oslo Kommune Bydel 12 Alna","Oslo","Yes","dotgov","No","No","No","","","","","","No"
"ungskaperlyst.no","ungskaperlyst.no","http://ungskaperlyst.no","","Midtre Gauldal Kommune","Sør-Trøndelag","No","dotgov","No","No","No","","","","","","No"
"ungting.no","ungting.no","http://ungting.no","","Hedmark Fylkeskommune","Hedmark","No","dotgov","No","No","Yes","No","Yes","No","No","No","No"
"universitetsbyen.no","universitetsbyen.no","http://universitetsbyen.no","","Kristiansand Kommune","Vest-Agder","No","dotgov","No","No","No","","","","","","No"
"upaskole.no","upaskole.no","http://upaskole.no","","Møre og Romsdal Fylkeskommune","Møre og Romsdal","Yes","dotgov","No","No","No","","","","","","No"
"uport.no","uport.no","http://uport.no","","Olsvik Sokn","Hordaland","No","dotgov","No","No","No","","","","","","No"
"uranienborgkirke.no","uranienborgkirke.no","http://uranienborgkirke.no","","Uranienborg Sokn","Oslo","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"uraskole.no","uraskole.no","http://www.uraskole.no","","Alstahaug Kommune","Nordland","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"urbanwatershuttle.no","urbanwatershuttle.no","http://urbanwatershuttle.no","","Hurum Kommune","Buskerud","Yes","dotgov","No","No","No","","","","","","No"
"urskog-holandsbanen.no","urskog-holandsbanen.no","http://urskog-holandsbanen.no","","Stiftelsen Akershusmuseet - Kulturhistorisk Kompetansesenter og Museer.","Akershus","Yes","dotgov","No","No","No","","","","","","No"
"urskogholandsbanen.no","urskogholandsbanen.no","http://urskogholandsbanen.no","","Stiftelsen Akershusmuseet - Kulturhistorisk Kompetansesenter og Museer.","Akershus","Yes","dotgov","No","No","No","","","","","","No"
"usar.no","usar.no","http://usar.no","","Oslo Kommune Brann- og Redningsetaten","Oslo","Yes","dotgov","No","Yes","No","","","","","","No"
"ushnordland.no","ushnordland.no","http://ushnordland.no","","Alstahaug Kommune","Nordland","No","dotgov","No","No","No","","","","","","No"
"ushtakr.no","ushtakr.no","http://ushtakr.no","","Bærum Kommune","Akershus","Yes","dotgov","No","No","No","","","","","","No"
"uteseksjonen.no","uteseksjonen.no","http://uteseksjonen.no","","Oslo Kommune Velferdsetaten","Oslo","No","dotgov","No","No","No","","","","","","No"
"uteteamet.no","uteteamet.no","http://www.uteteamet.no","","Drammen Kommune","Buskerud","No","dotgov","No","No","No","","","","","","No"
"uthusprosjektet.no","uthusprosjektet.no","http://uthusprosjektet.no","","Røros Kommune","Sør-Trøndelag","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"utitroms.no","utitroms.no","http://utitroms.no","","Bardu Kommune","Troms","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"utsiktenkunst.no","utsiktenkunst.no","http://utsiktenkunst.no","","Kvinesdal Kommune","Vest-Agder","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"utsiktenkunstsenter.no","utsiktenkunstsenter.no","http://utsiktenkunstsenter.no","","Kvinesdal Kommune","Vest-Agder","No","dotgov","No","No","No","","","","","","No"
"utsira.kommune.no","utsira.kommune.no","http://utsira.kommune.no","","","","No","dotgov","No","No","No","","","","","","No"
"utstillingsvindu.no","utstillingsvindu.no","http://www.utstillingsvindu.no","","Verdal Kommune","Nord-Trøndelag","No","dotgov","No","No","No","","","","","","No"
"utviklingssenter-hedmark.no","utviklingssenter-hedmark.no","http://utviklingssenter-hedmark.no","","Elverum Kommune","Hedmark","No","dotgov","No","No","No","","","","","","No"
"uverfestivalen.no","uverfestivalen.no","http://www.uverfestivalen.no","","Øygarden Kommune","Hordaland","Yes","dotgov","No","No","No","","","","","","No"
"uvnett.no","uvnett.no","http://uvnett.no","","Eidsberg Kommune","Østfold","Yes","dotgov","No","No","No","","","","","","No"
"uwebben.no","uwebben.no","http://uwebben.no","","Giske Kommune","Møre og Romsdal","No","dotgov","No","No","No","","","","","","No"
"uwebn.no","uwebn.no","http://uwebn.no","","Giske Kommune","Møre og Romsdal","No","dotgov","No","No","No","","","","","","No"
"v110.no","v110.no","http://www.v110.no","","Vestviken 110 Iks","Buskerud","No","dotgov","No","No","No","","","","","","No"
"vaageskule.no","vaageskule.no","http://www.vaageskule.no","","Fjaler Kommune","Sogn og Fjordane","Yes","dotgov","No","No","No","","","","","","No"
"vaake.no","vaake.no","http://vaake.no","","Kristiansund Kommune","Møre og Romsdal","Yes","dotgov","No","No","No","","","","","","No"
"vaaler-he.kommune.no","vaaler-he.kommune.no","https://www.vaaler-he.kommune.no","","","","No","dotgov","No","Yes","No","No","Yes","Yes","No","Yes","No"
"vaalerskolene.no","vaalerskolene.no","http://www.vaalerskolene.no","","Våler Kommune","Hedmark","Yes","dotgov","No","No","No","","","","","","No"
"vadso.kommune.no","vadso.kommune.no","http://vadso.kommune.no","","","","No","dotgov","No","No","No","","","","","","No"
"vadsokino.no","vadsokino.no","http://vadsokino.no","","Vadsø Kommune","Finnmark","No","dotgov","No","No","No","","","","","","No"
"vadsolege.no","vadsolege.no","http://vadsolege.no","","Vadsø Kommune","Finnmark","No","dotgov","No","No","No","","","","","","No"
