"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"04726.no","04726.no","http://04726.no","","Gran Kommune","Oppland","Yes","dotgov","No","No","No","","","","","","No"
"0534.no","0534.no","http://0534.no","","Gran Kommune","Oppland","Yes","dotgov","No","No","No","","","","","","No"
"0728.no","0728.no","http://0728.no","","Lardal Kommune","Vestfold","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"0gran.no","0gran.no","http://0gran.no","","Gran Kommune","Oppland","Yes","dotgov","No","No","No","","","","","","No"
"10-13.no","10-13.no","https://www.10-13.no","","Høybråten, Fossum og Stovner Sokn","Oslo","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"100prosentrisor.no","100prosentrisor.no","http://100prosentrisor.no","","Risør Kommune","Aust-Agder","Yes","dotgov","No","No","No","","","","","","No"
"110-finnmark.no","110-finnmark.no","http://www.110-finnmark.no","","Hammerfest Kommune","Finnmark","No","dotgov","No","No","No","No","Yes","No","No","No","No"
"110-namsos.no","110-namsos.no","https://110-namsos.no","","Namsos Kommune","Nord-Trøndelag","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"110-saltenbrann.no","110-saltenbrann.no","https://110-saltenbrann.no","","Salten Brann Iks","Nordland","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"110-troms.no","110-troms.no","https://110-troms.no","","Tromsø Kommune","Troms","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"110-trondelag.no","110-trondelag.no","https://110-trondelag.no","","Trøndelag Brann- og Redningstjeneste Iks","Sør-Trøndelag","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"110agder.no","110agder.no","http://110agder.no","","Arendal Kommune","Aust-Agder","No","dotgov","No","No","No","","","","","","No"
"110telemark.no","110telemark.no","http://www.110telemark.no","","Skien Kommune","Telemark","No","dotgov","No","No","No","","","","","","No"
"11rumselev.no","11rumselev.no","http://www.11rumselev.no","","Elverum Kommune","Hedmark","No","dotgov","No","No","No","","","","","","No"
"12k.no","12k.no","http://12k.no","","Re Kommune","Vestfold","No","dotgov","No","No","No","","","","","","No"
"13-20.no","13-20.no","https://www.13-20.no","","Bærum Kirkelige Fellesråd","Akershus","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"1414.no","1414.no","http://1414.no","","Nordre Land Kommune","Oppland","No","dotgov","No","No","No","","","","","","No"
"1422.no","1422.no","http://www.1422.no","","Lærdal Kommune","Sogn og Fjordane","Yes","dotgov","No","No","No","No","Yes","No","No","No","No"
"1601.no","1601.no","http://1601.no","","Trondheim Kommune Kultur og Næring","Sør-Trøndelag","No","dotgov","No","No","No","","","","","","No"
"177troms.no","177troms.no","http://177troms.no","","Troms Fylkeskommune","Troms","Yes","dotgov","No","No","No","","","","","","No"
"1bo.no","1bo.no","http://1bo.no","","Kristiansand Kommune","Vest-Agder","Yes","dotgov","No","No","No","","","","","","No"
"2030stiklestad.no","2030stiklestad.no","http://2030stiklestad.no","","Stiklestad Nasjonale Kultursenter AS","Nord-Trøndelag","No","dotgov","No","No","No","","","","","","No"
"2isa.no","2isa.no","http://2isa.no","","Telemark Fylkeskommune","Telemark","No","dotgov","No","No","No","","","","","","No"
"31skoler.no","31skoler.no","http://31skoler.no","","Rogaland Fylkeskommune Opplæringsavdelingen","Rogaland","No","dotgov","No","No","No","","","","","","No"
"360alesund.no","360alesund.no","http://360alesund.no","","Ålesundregionens Havnevesen","Møre og Romsdal","No","dotgov","No","No","No","","","","","","No"
"365.fredrikstad.no","365.fredrikstad.no","http://365.fredrikstad.no","","Fredrikstad Kommune","Østfold","No","dotgov","No","No","No","No","Yes","Yes","Yes","Yes","No"
"3mil.no","3mil.no","http://3mil.no","","Nesodden Kommune","Akershus","No","dotgov","No","No","No","","","","","","No"
"aa-f.kommune.no","aa-f.kommune.no","http://www.aa-f.kommune.no","","","","Yes","dotgov","No","No","No","","","","","","No"
"aabk.no","aabk.no","http://www.aabk.no","","Aust-Agder Fylkeskommune","Aust-Agder","Yes","dotgov","No","No","No","","","","","","No"
"aafarnes.no","aafarnes.no","http://aafarnes.no","","Rauma Kommune","Møre og Romsdal","Yes","dotgov","No","No","No","","","","","","No"
"aafoss.no","aafoss.no","http://aafoss.no","","Skien Kommune","Telemark","Yes","dotgov","No","No","No","","","","","","No"
"aafylkeskommune.no","aafylkeskommune.no","http://aafylkeskommune.no","","Aust-Agder Fylkeskommune","Aust-Agder","Yes","dotgov","No","No","No","","","","","","No"
"aajege.no","aajege.no","https://aajege.no","","Sør-Trøndelag Fylkeskommune Fylkesrådmannen","Sør-Trøndelag","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"aakershagan.no","aakershagan.no","http://aakershagan.no","","Hedmark Ikt","Hedmark","Yes","dotgov","No","No","No","","","","","","No"
"aakersposten.no","aakersposten.no","http://aakersposten.no","","Stange Kommune","Hedmark","No","dotgov","No","No","No","","","","","","No"
"aakrafjorden.no","aakrafjorden.no","http://www.aakrafjorden.no","","Etne Kommune","Hordaland","No","dotgov","No","No","No","","","","","","No"
"aakrakirke.no","aakrakirke.no","http://aakrakirke.no","","Åkra Sokn","Rogaland","Yes","dotgov","No","No","No","","","","","","No"
"aakravgs.no","aakravgs.no","http://aakravgs.no","","Rogaland Fylkeskommune","Rogaland","No","dotgov","No","No","No","","","","","","No"
"aal.kommune.no","aal.kommune.no","http://www.aal.kommune.no","","","","No","dotgov","No","No","No","","","","","","No"
"aal52.no","aal52.no","http://aal52.no","","Ål Kommune","Buskerud","No","dotgov","No","No","No","","","","","","No"
"aalbibliotek.no","aalbibliotek.no","http://aalbibliotek.no","","Ål Kommune Kultursektor","Buskerud","Yes","dotgov","No","No","No","","","","","","No"
"aalenskisenter.no","aalenskisenter.no","https://aalenskisenter.no","","Holtålen Kommune","Sør-Trøndelag","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"aalkino.no","aalkino.no","http://aalkino.no","","Ål Kommunale Kino","Buskerud","Yes","dotgov","No","No","No","","","","","","No"
"aalkulturskule.no","aalkulturskule.no","http://www.aalkulturskule.no","","Ål Kommune","Buskerud","No","dotgov","No","No","No","","","","","","No"
"aamli.kommune.no","aamli.kommune.no","http://www.aamli.kommune.no","","","","Yes","dotgov","No","No","No","","","","","","No"
"aamotskule.no","aamotskule.no","http://www.aamotskule.no","","Vinje Kommune","Telemark","Yes","dotgov","No","No","No","","","","","","No"
"aandalsnes-barneskole.no","aandalsnes-barneskole.no","http://aandalsnes-barneskole.no","","Rauma Kommune","Møre og Romsdal","Yes","dotgov","No","No","No","","","","","","No"
"aanrud.no","aanrud.no","https://www.aanrud.no","","Gausdal Kommune","Oppland","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"aans.no","aans.no","https://www.aans.no","","Agder Ikt Driftssenter Iks","Aust-Agder","No","dotgov","No","Yes","No","","","","","","No"
"aapenfolkekirke.no","aapenfolkekirke.no","http://aapenfolkekirke.no","","Vågan Sokn","Nordland","Yes","dotgov","No","No","No","","","","","","No"
"aarviksandskole.no","aarviksandskole.no","http://aarviksandskole.no","","Skjervøy Kommune Kultur- og Undervisningsetat","Troms","No","dotgov","No","No","No","","","","","","No"
"aasanekirke.no","aasanekirke.no","http://aasanekirke.no","","Åsane Sokn","Hordaland","Yes","dotgov","No","No","No","","","","","","No"
"aasanemenighet.no","aasanemenighet.no","http://www.aasanemenighet.no","","Bergen Kirkelige Fellesråd","Hordaland","No","dotgov","No","No","No","","","","","","No"
"aasentunet.no","aasentunet.no","http://www.aasentunet.no","","Nynorsk Kultursentrum","Møre og Romsdal","No","dotgov","No","No","No","","","","","","No"
"abbv.no","abbv.no","https://www.abbv.no","","Asker og Bærum Brannvesen Iks","Akershus","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"abelloftet.no","abelloftet.no","http://abelloftet.no","","Oslo Kommune Bydel 8 Nordre Aker","Oslo","No","dotgov","No","No","No","","","","","","No"
"abmtoten.no","abmtoten.no","http://www.abmtoten.no","","Vestre Toten Kommune","Oppland","No","dotgov","No","No","No","","","","","","No"
"abvann.no","abvann.no","http://www.abvann.no","","Asker og Bærum Vannverk Iks","Akershus","No","dotgov","No","No","No","","","","","","No"
"adm-ivest.no","adm-ivest.no","http://adm-ivest.no","","Hordaland Fylkeskommune","Hordaland","No","dotgov","No","No","No","","","","","","No"
"adonde.no","adonde.no","http://adonde.no","","Midtre Namdal Samkommune","Nord-Trøndelag","No","dotgov","No","No","No","","","","","","No"
"adventsfestivalen.no","adventsfestivalen.no","http://adventsfestivalen.no","","Drammen Kirkelig Fellesråd","Buskerud","No","dotgov","No","No","No","","","","","","No"
"aekf.no","aekf.no","http://www.aekf.no","","Arendal Eiendom Kf","Aust-Agder","No","dotgov","No","No","No","","","","","","No"
"afjord.kommune.no","afjord.kommune.no","https://www.afjord.kommune.no","","","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"afjordlegekontor.no","afjordlegekontor.no","http://afjordlegekontor.no","","Åfjord Kommune","Sør-Trøndelag","No","dotgov","No","No","No","","","","","","No"
"afjordutvikling.no","afjordutvikling.no","http://afjordutvikling.no","","Åfjord Kommune","Sør-Trøndelag","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"afk-it.no","afk-it.no","http://afk-it.no","","Akershus Fylkeskommune","Oslo","No","dotgov","No","No","No","","","","","","No"
"afk.no","afk.no","http://afk.no","","Akershus Fylkeskommune","Oslo","Yes","dotgov","No","No","No","","","","","","No"
"agdenes.kommune.no","agdenes.kommune.no","http://www.agdenes.kommune.no","","","","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"agder-fk.no","agder-fk.no","http://agder-fk.no","","Vest-Agder Fylkeskommune Utdanningsavdelingen","Vest-Agder","No","dotgov","No","No","No","","","","","","No"
"agder-ikt.no","agder-ikt.no","http://agder-ikt.no","","Agder Ikt Driftssenter Iks","Aust-Agder","No","dotgov","No","No","No","","","","","","No"
"agderforalle.no","agderforalle.no","http://agderforalle.no","","Vest-Agder Fylkeskommune","Vest-Agder","No","dotgov","No","No","No","","","","","","No"
"agderfylkeskommune.no","agderfylkeskommune.no","http://agderfylkeskommune.no","","Vest-Agder Fylkeskommune Utdanningsavdelingen","Vest-Agder","No","dotgov","No","No","No","","","","","","No"
"agderliving.no","agderliving.no","http://agderliving.no","","Aust-Agder Fylkeskommune","Aust-Agder","No","dotgov","No","No","No","","","","","","No"
"agderrenovasjon.no","agderrenovasjon.no","http://agderrenovasjon.no","","Agder Renovasjon Iks","Aust-Agder","No","dotgov","No","No","No","No","Yes","No","No","No","No"
"agderskolen.no","agderskolen.no","http://agderskolen.no","","Agder Ikt Driftssenter Iks","Aust-Agder","Yes","dotgov","No","No","No","","","","","","No"
"agderteater.no","agderteater.no","http://agderteater.no","","Kilden Teater- og Konserthus For Sørlandet Iks","Vest-Agder","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"ahbygdetun.no","ahbygdetun.no","http://ahbygdetun.no","","Stiftelsen Akershusmuseet - Kulturhistorisk Kompetansesenter og Museer.","Akershus","Yes","dotgov","No","No","No","","","","","","No"
"ahk.no","ahk.no","https://www.ahk.no","","Aurskog-Høland Kommune","Akershus","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"akasia.no","akasia.no","https://akasia.no","","Bergen Kirkelige Fellesråd","Hordaland","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"akerfallet.no","akerfallet.no","http://akerfallet.no","","Tingvoll Kommune","Møre og Romsdal","Yes","dotgov","No","No","No","","","","","","No"
"akershus-fk.no","akershus-fk.no","http://www.akershus-fk.no","","Akershus Fylkeskommune","Oslo","Yes","dotgov","No","No","No","","","","","","No"
"akershusmuseet.no","akershusmuseet.no","http://akershusmuseet.no","","Stiftelsen Akershusmuseet - Kulturhistorisk Kompetansesenter og Museer.","Akershus","Yes","dotgov","No","No","No","","","","","","No"
"akersmus.no","akersmus.no","http://akersmus.no","","Stiftelsen Akershusmuseet - Kulturhistorisk Kompetansesenter og Museer.","Akershus","Yes","dotgov","No","No","No","","","","","","No"
"aknes.no","aknes.no","https://aknes.no","","Åknes/Tafjord Beredskap Iks","Møre og Romsdal","No","dotgov","No","Yes","No","No","Yes","Yes","No","Yes","No"
"akrakirke.no","akrakirke.no","http://akrakirke.no","","Åkra Sokn","Rogaland","Yes","dotgov","No","No","No","","","","","","No"
"aks.no","aks.no","http://www.aks.no","","Hammerfest Kommune","Finnmark","No","dotgov","No","No","No","","","","","","No"
"akst.no","akst.no","http://akst.no","","Agder Ikt Driftssenter Iks","Aust-Agder","No","dotgov","No","No","No","","","","","","No"
"aktiveiker.no","aktiveiker.no","http://aktiveiker.no","","Øvre Eiker Kommune","Buskerud","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"aktivhelgeland.no","aktivhelgeland.no","http://www.aktivhelgeland.no","","Alstahaug Kommune","Nordland","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"aktivhms.no","aktivhms.no","http://aktivhms.no","","Larvik Kommune","Vestfold","No","dotgov","No","No","No","","","","","","No"
"aktiviskjaak.no","aktiviskjaak.no","http://aktiviskjaak.no","","Skjåk Kommune","Oppland","No","dotgov","No","No","No","","","","","","No"
"aktivitetshusetvolt.no","aktivitetshusetvolt.no","http://aktivitetshusetvolt.no","","Lørenskog Kommune Kultursektoren","Akershus","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"aktivrast.no","aktivrast.no","http://www.aktivrast.no","","Tvedestrand Kommune","Aust-Agder","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"akutt-forurensning-region2.no","akutt-forurensning-region2.no","http://www.akutt-forurensning-region2.no","","Nedre Romerike Brann- og Redningsvesen Iks","Akershus","No","dotgov","No","No","No","","","","","","No"
"al52.no","al52.no","http://al52.no","","Ål Kommune","Buskerud","No","dotgov","No","No","No","","","","","","No"
"aldersvennligby.no","aldersvennligby.no","http://aldersvennligby.no","","Trondheim Kommune Kultur og Næring","Sør-Trøndelag","Yes","dotgov","No","No","No","","","","","","No"
"alenskisenter.no","alenskisenter.no","http://alenskisenter.no","","Holtålen Kommune","Sør-Trøndelag","Yes","dotgov","No","No","No","","","","","","No"
"alesund.folkebibl.no","alesund.folkebibl.no","http://alesund.folkebibl.no","","Ålesund Kommune","Møre og Romsdal","No","dotgov","No","No","No","","","","","","No"
"alesund.kommune.no","alesund.kommune.no","http://alesund.kommune.no","","","","No","dotgov","No","No","No","No","Yes","No","No","No","No"
"alesundkommune.no","alesundkommune.no","http://alesundkommune.no","","Ålesund Kommune","Møre og Romsdal","Yes","dotgov","No","No","No","","","","","","No"
"alledager.no","alledager.no","http://alledager.no","","Eidsvoll Kirkelig Fellesråd","Akershus","No","dotgov","No","No","No","","","","","","No"
"allkunne.no","allkunne.no","https://www.allkunne.no","","Nynorsk Kultursentrum","Møre og Romsdal","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"allmenning.no","allmenning.no","http://allmenning.no","","Nynorsk Kultursentrum","Møre og Romsdal","No","dotgov","No","No","No","","","","","","No"
"almedie.no","almedie.no","http://almedie.no","","Oslo Kommune Bydel 12 Alna","Oslo","No","dotgov","No","No","No","","","","","","No"
"alstahaug.kommune.no","alstahaug.kommune.no","http://www.alstahaug.kommune.no","","","","No","dotgov","No","No","No","","","","","","No"
"alstahaugkommune.no","alstahaugkommune.no","http://alstahaugkommune.no","","Alstahaug Kommune","Nordland","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"alsvagskole.no","alsvagskole.no","http://alsvagskole.no","","Øksnes Kommune","Nordland","No","dotgov","No","No","No","","","","","","No"
"alta.kommune.no","alta.kommune.no","http://www.alta.kommune.no","","","","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"alta.museum.no","alta.museum.no","http://alta.museum.no","","Verdensarvsenter For Bergkunst- Alta Museum Iks","Finnmark","Yes","dotgov","No","No","No","","","","","","No"
"alta.vgs.no","alta.vgs.no","http://www.alta.vgs.no","","Finnmark Fylkeskommune","Finnmark","No","dotgov","No","No","No","","","","","","No"
"altakino.no","altakino.no","http://altakino.no","","Alta Kommune","Finnmark","Yes","dotgov","No","No","No","","","","","","No"
"altakultursal.no","altakultursal.no","http://www.altakultursal.no","","Alta Kommune","Finnmark","No","dotgov","No","No","No","","","","","","No"
"altakulturskole.no","altakulturskole.no","http://www.altakulturskole.no","","Alta Kommune","Finnmark","No","dotgov","No","No","No","","","","","","No"
"altamuseum.no","altamuseum.no","http://www.altamuseum.no","","Verdensarvsenter For Bergkunst- Alta Museum Iks","Finnmark","No","dotgov","No","No","No","No","Yes","No","No","No","No"
"altarockart.no","altarockart.no","http://altarockart.no","","Verdensarvsenter For Bergkunst- Alta Museum Iks","Finnmark","No","dotgov","No","No","No","","","","","","No"
"altavann.no","altavann.no","http://altavann.no","","Alta Kommune","Finnmark","No","dotgov","No","No","No","","","","","","No"
"altavannet.no","altavannet.no","http://altavannet.no","","Alta Kommune","Finnmark","No","dotgov","No","No","No","","","","","","No"
"altomhvalen.no","altomhvalen.no","http://altomhvalen.no","","Vestfoldmuseene Iks","Vestfold","No","dotgov","No","No","No","","","","","","No"
"aluminiummuseet.no","aluminiummuseet.no","http://aluminiummuseet.no","","Vestfoldmuseene Iks","Vestfold","No","dotgov","No","No","No","","","","","","No"
"alv-more.no","alv-more.no","http://alv-more.no","","Ålesund Kommune","Møre og Romsdal","No","dotgov","No","No","No","","","","","","No"
"alv-moreogromsdal.no","alv-moreogromsdal.no","http://alv-moreogromsdal.no","","Ålesund Kommune","Møre og Romsdal","No","dotgov","No","No","No","","","","","","No"
"alvdal.kommune.no","alvdal.kommune.no","http://alvdal.kommune.no","","","","No","dotgov","No","No","No","","","","","","No"
"alversundkammerkor.no","alversundkammerkor.no","http://alversundkammerkor.no","","Alversund Sokn","Hordaland","No","dotgov","No","No","No","","","","","","No"
"amaldhus.no","amaldhus.no","http://www.amaldhus.no","","Oslo Kommune Bydel 5 Frogner","Oslo","No","dotgov","No","No","No","","","","","","No"
"amblie.no","amblie.no","http://www.amblie.no","","Stiftelsen Lillehammer Museum","Oppland","No","dotgov","No","No","No","No","Yes","Yes","No","No","No"
"amicusbarnehage.no","amicusbarnehage.no","http://www.amicusbarnehage.no","","Drammen Kirkelig Fellesråd","Buskerud","No","dotgov","No","No","No","","","","","","No"
"amli.kommune.no","amli.kommune.no","http://www.amli.kommune.no","","","","No","dotgov","No","No","No","","","","","","No"
"amlibibliotek.no","amlibibliotek.no","http://amlibibliotek.no","","Vest-Agder Fylkeskommune","Vest-Agder","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"amot.kommune.no","amot.kommune.no","http://www.amot.kommune.no","","","","No","dotgov","No","No","No","","","","","","No"
"amotmarka-barnehage.no","amotmarka-barnehage.no","http://amotmarka-barnehage.no","","Kvinesdal Kommune","Vest-Agder","No","dotgov","No","No","No","","","","","","No"
"analysesenteret.no","analysesenteret.no","http://analysesenteret.no","","Trondheim Kommune","Sør-Trøndelag","Yes","dotgov","No","No","No","","","","","","No"
"andalsneskino.no","andalsneskino.no","http://www.andalsneskino.no","","Rauma Kommune","Møre og Romsdal","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"andebu.kommune.no","andebu.kommune.no","http://andebu.kommune.no","","","","No","dotgov","No","No","No","","","","","","No"
"andoy.kommune.no","andoy.kommune.no","http://www.andoy.kommune.no","","","","No","dotgov","No","No","No","","","","","","No"
"andslimoenmiljoarbeidertjeneste.no","andslimoenmiljoarbeidertjeneste.no","http://www.andslimoenmiljoarbeidertjeneste.no","","Målselv Kommune","Troms","No","dotgov","No","No","No","","","","","","No"
"andsvannet.no","andsvannet.no","http://www.andsvannet.no","","Målselv Kommune","Troms","No","dotgov","No","No","No","","","","","","No"
"andywarhol.no","andywarhol.no","http://andywarhol.no","","Vestfoldmuseene Iks","Vestfold","No","dotgov","No","No","No","","","","","","No"
"anebybarnehage.no","anebybarnehage.no","http://anebybarnehage.no","","Nittedal Kommune","Akershus","Yes","dotgov","No","No","No","","","","","","No"
"ankern.no","ankern.no","http://ankern.no","","Ankerskogen Svømmehall Hamar Kf","Hedmark","Yes","dotgov","No","No","No","","","","","","No"
"ankerskogen-badeland.no","ankerskogen-badeland.no","http://ankerskogen-badeland.no","","Ankerskogen Svømmehall Hamar Kf","Hedmark","Yes","dotgov","No","No","No","","","","","","No"
"ankerskogen.no","ankerskogen.no","https://www.ankerskogen.no","","Ankerskogen Svømmehall Hamar Kf","Hedmark","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"anno-x.no","anno-x.no","http://www.anno-x.no","","Oslo Kommune Kulturetaten","Oslo","No","dotgov","No","No","No","","","","","","No"
"aok-larvik.no","aok-larvik.no","http://aok-larvik.no","","Larvik Kommune","Vestfold","No","dotgov","No","No","No","","","","","","No"
"aokbil.no","aokbil.no","http://aokbil.no","","Larvik Kommune","Vestfold","Yes","dotgov","No","No","No","","","","","","No"
"aokposten.no","aokposten.no","http://aokposten.no","","Larvik Kommune","Vestfold","No","dotgov","No","No","No","","","","","","No"
"aosenteret.no","aosenteret.no","http://aosenteret.no","","Vaksdal Kommune","Hordaland","No","dotgov","No","No","No","","","","","","No"
"apenfolkekirke.no","apenfolkekirke.no","http://apenfolkekirke.no","","Vågan Sokn","Nordland","Yes","dotgov","No","No","No","","","","","","No"
"arasskule.no","arasskule.no","http://arasskule.no","","Austrheim Kommune","Hordaland","No","dotgov","No","No","No","","","","","","No"
"arbeideren.no","arbeideren.no","http://arbeideren.no","","Ålesund Kommune","Møre og Romsdal","No","dotgov","No","No","No","","","","","","No"
"arbeidskirken.no","arbeidskirken.no","http://arbeidskirken.no","","Larvik Kirkelige Fellesråd","Vestfold","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"arbeidslivetskulturseilas.no","arbeidslivetskulturseilas.no","http://arbeidslivetskulturseilas.no","","Vestfold Fylkeskommune","Vestfold","Yes","dotgov","No","No","No","","","","","","No"
"arbeidsmiljobloggen.no","arbeidsmiljobloggen.no","http://arbeidsmiljobloggen.no","","Rissa Kommune","Sør-Trøndelag","No","dotgov","No","No","No","","","","","","No"
"arctic-capital.no","arctic-capital.no","http://www.arctic-capital.no","","Tromsø Kommune","Troms","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"arcticairlink.no","arcticairlink.no","http://arcticairlink.no","","Troms Fylkeskommune","Troms","No","dotgov","No","No","No","","","","","","No"
"arcticchamberorchestra.no","arcticchamberorchestra.no","http://arcticchamberorchestra.no","","Nordnorsk Opera og Symfoniorkester AS","Nordland","No","dotgov","No","No","No","","","","","","No"
"arcticphilharmonic.no","arcticphilharmonic.no","http://arcticphilharmonic.no","","Nordnorsk Opera og Symfoniorkester AS","Nordland","No","dotgov","No","No","No","","","","","","No"
"arcticphilharmonicorchestra.no","arcticphilharmonicorchestra.no","http://arcticphilharmonicorchestra.no","","Nordnorsk Opera og Symfoniorkester AS","Nordland","No","dotgov","No","No","No","","","","","","No"
"arcticracebardu.no","arcticracebardu.no","http://arcticracebardu.no","","Bardu Kommune","Troms","No","dotgov","No","No","No","","","","","","No"
"arcticsinfonietta.no","arcticsinfonietta.no","http://arcticsinfonietta.no","","Nordnorsk Opera og Symfoniorkester AS","Nordland","No","dotgov","No","No","No","","","","","","No"
"ardal.kommune.no","ardal.kommune.no","http://www.ardal.kommune.no","","","","No","dotgov","No","No","No","","","","","","No"
"ardalbibliotek.no","ardalbibliotek.no","http://ardalbibliotek.no","","Årdal Kommune","Sogn og Fjordane","Yes","dotgov","No","No","No","","","","","","No"
"arealgrenland.no","arealgrenland.no","http://arealgrenland.no","","Vekst I Grenland Iks","Telemark","No","dotgov","No","No","No","","","","","","No"
"arealprosjektet.no","arealprosjektet.no","http://www.arealprosjektet.no","","Knutepunkt Sørlandet","Vest-Agder","No","dotgov","No","No","No","","","","","","No"
"aremark.kommune.no","aremark.kommune.no","http://www.aremark.kommune.no","","","","No","dotgov","No","No","No","","","","","","No"
"arena.larvik.no","arena.larvik.no","http://arena.larvik.no","","Larvik Kommune","Vestfold","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"arenagjovik.no","arenagjovik.no","http://arenagjovik.no","","Gjøvik Kommune","Oppland","No","dotgov","No","No","No","","","","","","No"
"arenainnlandet.no","arenainnlandet.no","http://arenainnlandet.no","","Oppland Fylkeskommune","Oppland","Yes","dotgov","No","No","No","","","","","","No"
"arenalarvik.no","arenalarvik.no","http://arenalarvik.no","","Larvik Arena Iks","Vestfold","No","dotgov","No","No","No","","","","","","No"
"arenanh.no","arenanh.no","http://arenanh.no","","Nordhordland Utviklingsselskap Iks","Hordaland","No","dotgov","No","No","No","","","","","","No"
"arenanordhordland.no","arenanordhordland.no","http://arenanordhordland.no","","Nordhordland Utviklingsselskap Iks","Hordaland","No","dotgov","No","No","No","","","","","","No"
"arendal.kommune.no","arendal.kommune.no","https://www.arendal.kommune.no","","","","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"arendalbeta.no","arendalbeta.no","https://arendalbeta.no","","Arendal Kommune","Aust-Agder","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"arendalidrettspark.no","arendalidrettspark.no","http://arendalidrettspark.no","","Arendal Kommune","Aust-Agder","No","dotgov","No","No","No","","","","","","No"
"arendalskolen.no","arendalskolen.no","http://arendalskolen.no","","Agder Ikt Driftssenter Iks","Aust-Agder","No","dotgov","No","No","No","","","","","","No"
"arendalskonferansen.no","arendalskonferansen.no","http://arendalskonferansen.no","","Agder Ikt Driftssenter Iks","Aust-Agder","Yes","dotgov","No","No","No","","","","","","No"
"arendalsskolen.no","arendalsskolen.no","http://arendalsskolen.no","","Agder Ikt Driftssenter Iks","Aust-Agder","No","dotgov","No","No","No","","","","","","No"
"arendalsuka.no","arendalsuka.no","https://arendalsuka.no","","Agder Ikt Driftssenter Iks","Aust-Agder","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"arendalvgsbibl.no","arendalvgsbibl.no","http://arendalvgsbibl.no","","Vest-Agder Fylkeskommune","Vest-Agder","No","dotgov","No","No","No","","","","","","No"
"ariks.no","ariks.no","http://ariks.no","","Arendal Revisjonsdistrikt Iks","Aust-Agder","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"arim.no","arim.no","http://arim.no","","Ålesundregionen Interkommunale Miljøselskap Iks","Møre og Romsdal","No","dotgov","No","No","No","","","","","","No"
"arkheion.no","arkheion.no","http://www.arkheion.no","","Interkommunalt Arkiv For Buskerud Vestfold og Telemark Iks","Buskerud","No","dotgov","No","No","No","","","","","","No"
"arkiveneioslo.no","arkiveneioslo.no","http://arkiveneioslo.no","","Oslo Kommune Kulturetaten","Oslo","Yes","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"arkivnett.ol.no","arkivnett.ol.no","http://arkivnett.ol.no","","Stiftelsen Lillehammer Museum","Oppland","No","dotgov","No","No","No","","","","","","No"
"arkivsenter-sor.no","arkivsenter-sor.no","http://www.arkivsenter-sor.no","","Interkommunalt Arkiv I Vest-Agder Iks","Vest-Agder","No","dotgov","No","No","No","","","","","","No"
"arkivsenteret.no","arkivsenteret.no","http://www.arkivsenteret.no","","Interkommunalt Arkiv Trøndelag Iks","Sør-Trøndelag","No","dotgov","No","No","No","","","","","","No"
"arkivsentersor.no","arkivsentersor.no","http://www.arkivsentersor.no","","Interkommunalt Arkiv I Vest-Agder Iks","Vest-Agder","No","dotgov","No","No","No","","","","","","No"
"arkoregionen.no","arkoregionen.no","http://arkoregionen.no","","Eidskog Kommune","Hedmark","Yes","dotgov","No","No","No","","","","","","No"
